"portugues","tupi"
"No seu próprio ombro, levanta a cruz Por fraqueza, Jesus fá-la cair consigo","o ati'yba ri, krusá osupi membeka suí, îesu sero'ari"
"Tu não tens o coração arrebentado de aflição","tekotebẽ suí nde nhy'ã-boke'ymi"
"Constituímos-te chefe","oromoingó tubixabamo"
"o cacho delas","saryba"
"Vem, coisa fedorenta!","eîori, mba'e-nem!"
"Que venha para nos fazer felizes","t'oú oré moorypa"
"Por que razão eu o levaria?","marãmope xe serasóû?"
"ajudante de São Lourenço","são lourenço pytybõana"
"Eu também danço com meus parentes","xe abé xe anametá aroporaseî"
"Não trabalhamos neste dia","n'îaporabykyî kó 'ara pupé"
"Eu tenho presas, eu faço presas, eu apreso","xe rembiar"
"Eu sempre ensinei as pessoas publicamente","te'yîpe memẽ nhẽ ixé aporombo'e"
"Repleta-me minha ira","xe moîoîá xe îemoŷrõ"
"gordura de animal","mba'e-kagûera"
"Eis aí teu filho, ó mulher!","ebokûé nde membyra, kunhã gûé!"
"Que a gente diz, conversando com o anjo seu guardião?","marã e'ipe asé, karaibebé o arõana mongetábo?"
"argola de ferro","itá-apynha"
"Digo isso com razão","supi aîpó a'é"
"Eu sou alto","xe puku"
"Cubro-o","aîaob"
"mortandade de gente","mbaba"
"A dança é que é boa, enfeitar-se, tingir-se as pernas com urucu","moraseîa é i katu, îegûaka, îetymã-gûanga"
"arrancando sua orelha","i nambi mondoka"
"pelas matas","ka'abo"
"Lamenta-te!","eîeapirõ!"
"Ah, quem me dera eu fosse para o céu!","asó temõ ybakype mã!"
"Eu estou inchado, eu tenho calombos","xe gûa'a-gûa'a"
"Confesso a ti, senhor padre","anhemombe'u ndebe, pa'i abaré"
"Guardai-vos de serdes maus doravante","peteumẽ, pe poxyramo angiré"
"Fazendo-os levantar imediatamente","i mopu'ama kûeîeténe"
"O que conta o que não sabe bem","o eminguá-katue'yma oîmombe'uba'e"
"Da morte tentando inutilmente livrar-se, amedrontando-se, enfim","te'õ suí o nhepysyrõ ra'angyîepébo, opiringamo ko'yté"
"o que é totalmente conhecido, coisa notória por fama","i kugûabypypabẽ"
"Eis que era costume, por ocasião disso, pôr nome Assim, puseram como nome dele ""Jesus""","ã tekó a'ereme moreroka ké bŷá îesus nongi seramo"
"Vem, para que recebas a lei deles","îori, t'ereîá sekó"
"Argumentei contra suas palavras, em vão","aînhe'engapypyk îepé"
"No seu próprio ombro levanta a cruz","o ati'yba ri krusá osupi"
"Para onde a multidão numerosíssima levou Nosso Senhor da casa de Caifás após o amanhecer?","mamõpe erimba'e te'yî-katupabẽ îandé îara rerasóû kaiphás roka suí ko'em'iré?"
"Eis que aqui ele está deitado","kó tuî kó"
"O homem que comete furto de algo","abá mba'e resé omondarõba'e"
"Porventura a tentação é algo semelhante a uma juçana?","îusana abŷare'yma nhẽ serã tentação?"
"Que eu te busque as pegadas","t'oroakypûer-eká"
"Aqui estou para levar seu ventre e também seus pulmões para minha sogra velha","kó aîkó sygepûera t'arasó i nhy'ãbebuîa abé xe raîxó-gûaîbĩ supé"
"Reconhecendo que tu és o seu próprio criador","o monhangaramo nde rekó kuapa"
"Deus te fez viver, guardando-te, não somente por uma semana, não somente por um ano, mas por muitos anos","nde moingobé tupã, nde rerekóbo n'oîepé îasy nhõ ruã, n'oîepé seîxu nhõ ruã, setá nhẽ seîxu-te"
"concavidade da nuca, depressão na parte inferior da nuca","atuá-pyko'ẽ"
"Empregaste alguém por ocasião de um feriado, fazendo-o trabalhar em algo?","ereîmoingópe abá 'aretéreme marã i moporabykŷabo?"
"Como meus súditos em minhas mãos bem os tenho a todos","xe boîáramo pabẽ xe pópe arekó-katu"
"Com água nos molham a cabeça","y pupé asé 'apiramõû"
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume, as ondas fazendo grande estrondo","kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé yapenunga ryapugûasuramo"
"Perdoa também Deus a nós?","i nhyrõ bépe tupã asébe?"
"Assim como esta água lava o corpo da gente, aquela também","akó 'y asé reté moîasuka îabé, akûeîa îabé"
"Só desejando mulher","kunhã potá nhote"
"Eu estou cansado, eu estou com sono!","xe pûeraî, xe ropesyî!"
"palavras desatinadas","nhe'ẽ-tekokugûabe'yma"
"Voa para longe de nós","obebé îandé suí"
"Maria, mulher bondosa, engravidando, conforme dizem, o vício amaldiçoa","maria, kunhãngatu, o puru'aramo, ra'e, tekopoxy oîmomburu"
"Por que a gente em sua boca a assinala também ?","marãnamope asé o îurupe sa'angino?"
"nosso pai verdadeiro","îandé rubeté"
"Faço que não o vejo","n'asepîake'ym-a'ubi"
"Para uma grande escuridão é que iriam","pytunusupe émo i xóûmo"
"Tu me alegras muito, narrando assim os fatos","xe moory-katu îepé, inã tekó mombegûabo"
"Ah, quem me dera bater nele!","apûar temõ sesé mã!"
"São Pedro puxou a espada, ferindo um amigo do chefe, chamado Malco","s pedro itangapema osekyî morubixaba rembiaûsuba malko seryba'e apixapa"
"Antes de fazer embelezar sua alma","o 'anga moporangukar e'ymebé"
"Está impedido também o homem de casar com os que sua irmã gera","sarûab-y bé o endyra remimonhanga resé abá mendara"
"Todos os impedimentos do casamento já mencionei","opá mendara moarûapaba aîmombe'u ymã"
"Oponho-me a ele","asobaîar"
"Hei de ir adiante de vós, como vosso espião, primeiro","t'akûáne pe renondé, pe manhanamo, ranhẽ"
"raramente","amõneme nhõ"
"do lado de fora dele","i apé koty"
"Detestando-os mais que tudo o que deve ser lamentado e o que se deve detestar neste mundo","seroŷrõmo opakatu ikó 'ara pupé i moasypyra, seroŷrõmbyra sosé"
"Nós vos matamos","oré opoîuká"
"o sem-orelhas, coisa mocha","nambie'yma"
"sela de cavalo","kabaru repanaku"
"Que se frustre esse meu futuro sofrimento, que eu o faça passar","t'i rambûer iã xe remimborarama, t'amongûabyne"
"Barreei a casa com terra","oka aîyby-apetek"
"mingau grudento","minga'u-pomonga"
"Assa-me o Lourenço tostado","xe resy lorẽ-ka'ẽ"
"Estai com pranto, como modo de honrar o que entra para junto de vós","îase'o rakó perekó peẽmo teîkeara moetesabamo"
"Meu senhor vos mata","pe îuká xe îara"
"Mando matá-lo","aîuká-ukar"
"O que ama verdadeiramente a Deus não tem dificuldades em viver segundo os mandamentos de Deus","tupã raûsupareté n'oîmoabaíbi tupã asé rekomonhangaba rupi o ekó"
"Por isso mesmo alguém, antes de se casar, confessa-se de seus pecados","nd'e'i te'e abá o mendá îanondé onhemombegûabo o angaîpagûera resé"
"Repartimo-nos","oronhemoîa'ok"
"Querendo tua virtude, detesto minha cultura antiga","nde rekokatu potá, aroŷrõ xe rekopûera"
"poucas vezes","amõneme é"
"osso de tembetá","metara kanga"
"Eu tenho nome","xe rer"
"Não te denunciarei","nd'oromombe'uî xóne"
"Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?","onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?"
"Eu estou preto de fumaça","xe run tatatinga suí"
"Vou ao caminho de meu pai","asó xe ruba rapépe"
"Chamei-o, de fato, mas nem por isso veio","asenõî nakó naeroîaî turi"
"A crença no Deus verdadeiro encheu meu interior","tupã-eté rerobîara îaîporaká xe ybỹîa"
"Rapo-lhe a cabeça","aî'apin"
"tempo, lugar, modo, etc de se lavar, de se batizar","moîasukaba"
"Antigamente eu ficava sempre junto de ti","akûeîme apytá memẽ nde pyri"
"Guardai-vos de serdes maus doravante","peteumẽ pe poxyramo angiré"
"Vem para colocar os malditos conforme nossas palavras","eîori muru moingóbo îandé nhe'enga rupi"
"remédio contra dor de picada de cobra, antídoto contra veneno de cobra","mboîasy-posanga"
"toco de braço","îybá-asyka"
"Confessar-se a cada ano","seixu îabi'õ nhemombe'u"
"pintura dele","i kûatiara"
"Como seus discípulos procederam, vendo tratar assim a seu senhor?","marãpe i boîá rekóû emonã o îara rerekó repîaka?"
"Não o amo ainda","nd'a'éî saûsupa ranhẽ"
"Eu sou acostumado","sekoba'e ixé"
"Sou íntimo deles, isto é, sou o que eles honram","semimoetéramo aîkó"
"Deus, a descoberto, imediatamente revelou-se a eles","aûnhenhẽ tupã katupe îepîakukari i xupé"
"Tu tens olhos concupiscentes, olhando para alguém?","nde resá-poropotápe amõ resé ema'ẽmo?"
"Não me dá vontade de comer","na xe îuruéî"
"Estou preso nos ferros","itá resé aín"
"Tu, talvez, para retribuir, a vida má, o desejo sensual atiras nele o dia todo","nde serã i poepyka tekomemûã, poropotara ereîapi ko'arapukuî"
"Então as estrelas cairão completamente","a'ereme îasytatá o apakuîamo"
"Inventei-o","aîypymonhang"
"Nós nos misturamos","oroîese'ar"
"Havemos de ir à árdua guerra?","t'îasó maranatãûãme?"
"casa assobradada","okybaté"
"Nomes de quem são esses?","abá-abá rerape eboinga?"
"Eu tenho o rosto curubento","xe robá-kurub"
"Grita tu, lamenta-te!","- nde rasẽ, eîeapirõ!"
"Importuna-me muito aquela lei nova","xe moaîu-marangatu aîpó tekó-pysasu"
"Não faz sentido ele fazer a defesa da morte fora de Jesus Cristo","n'i aîarõî îesu cristo taté é te'õ suí i îepirapûana"
"Podem também as pessoas casar-se diante de um outro padre, de acordo com a vontade do padre responsável por elas","ikatu bé abá omendá amoaé abaré robaké abaré ogûerekoara remimotara rupi"
"Deus-Pai tem mãos, tem mão direita, tem mão esquerda?","i pópe tupã-tuba, i 'ekatuápe, i asupe?"
"Hei de comê-lo, pois","a'u nhẽne ky"
"É no final da missa que entras sempre, manifestamente consciente?","missa mondykápe épe ereîké îepi, nde îesûere'yîpe"
"Não querendo transgredir a boa lei","tekó-katu aby potare'yma"
"Está muito cheia Santa Maria daquela coisa muito boa chamada ""graça""?","tynysẽngatupe santa maria aîpó mba'e-eté ""graça"" 'îaba resé?"
"Mas eu, tendo saudades de ti, quero-te muito bem","xe-te, nde repîaka'upa, oroamotá-katu"
"para a parte traseira dele","i 'anga koty"
"Cerquei-os","aîopîar"
"Faz-te subir consigo hoje","nde reroîeupi kori"
"Ao chegarem os pescadores, repartem sempre com suas amantes ruins seu pescado, pelas costas de seus senhores","pindaîtykara îepotasápe, memẽ o agûasá-poxy supé oîmoîa'ok o embiara, o îara kupébo nhẽ"
"saco, teia ou teagem dos miolos","aputu'ũ-aoba"
"Eu não sou afável","na xe posykyîéî"
"Em caso de divulgação de sua morte, o próprio padre responsável por ele que o julgue","se'õagûera rerapûaneme, abaré serekoara aé t'osekokuab"
"Nós somos gêmeos","kõîgûera oré"
"Eu estou febril, eu tenho febre","xe akanunduk"
"Aimbirê, vem diante de mim!","aîmbiré, eîori xe robaké!"
"meu paizinho","xe rubĩ"
"remédio portador de cura","mosanga mûeîrab-yîara"
"Mas quem, outrora, como vossas coisas os índios deu?","abá-tepe, erimba'e, pe mba'erama resé apŷaba me'enga'ubi?"
"Eu tenho olhos esbugalhados","xe resá-ynhusu"
"Isso dizendo, eu não estou tíbio","aîpó gûi'îabo, n'akyî ixé"
"Isso é muito difícil!","iîabaíbeté aîpó!"
"Por tuas pegadas há de ir minh'alma sempre","nde rakypûera rupi t'osó xe 'anga îepi"
"Imediatamente eles se vingam de seu próximo","aûnhenhẽ o apixarĩ resé îepyki"
"Maior que esta casa","kó oka sosé"
"Eis que era famosa, certamente, a bela vida de Maria","anhẽté, kó serapûan maria rekó-poranga"
"A consorciação deles em toda a parte","i îogûerekó kûeîkûeîbo"
"Amarrei-me o cabelo","aîe'a-maman"
"Meu irmão, perdoa tu a mim","xe rybyt, nde nhyrõ xebo"
"Haveria de morrer certamente a criança de mim após eu querer comer caça","omanõ îepémo pitanga xe suí ixé so'o 'useî tenhẽ roîrémo re'ĩ"
"Mamei","akambu"
"Tu trouxeste tua esposa?","nde ererupe nde remirekó?"
"Que acabem logo meus afazeres","t'osyk esapy'a xe rekó"
"Mas eu, amando minh'alma, fico quieto em minha terra","xe-te, xe 'anga raûsupa, aby'arĩ xe retãme"
"Erra muito o homem que se fica fazendo pajé?","i angaîpabetépe abá onhemopaîé-paîébo?"
"Estão em grande número, são muitos","tyk e'i"
"Abortei meu filho","xe membyrakyrar"
"Tiveste relações com uma virgem também?","ereîkópe kûare'ymano resé?"
"a maldade de suas palavras","o nhe'enga poxŷagûera"
"Queres comer farinha puba?","ereî'useîpe u'i-puba?"
"Eia, levemos adiante deles esta muçurana","ene'ĩ, t'îarasó senondé kó musurana"
"Eu estava de pés soltos, meus pés soltaram-se","xe py-'ir"
"Com uma lança de ferro espetou seu flanco, estourando suas entranhas","itamina pupé iî yké kutuki, i nhy'ã moboka"
"Quiseste muito ouvir difamações que alguém profere?","eresendu-potá-katupe terapûanaíba abá remimombe'u?"
"O que batizou não pode casar-se com aquela que batizou","oporoerokyba'epûera nd'e'ikatuî omendá o emierokûera resé"
"Vem, coisa fedorenta, coisa nojenta!","eîori, mba'enem, mba'e-poxy!"
"São vistos os cadáveres daqueles manterem sua incorruptibilidade três ou quatro anos após os enterrarem","sepîakypyra niã aîpoba'e re'ombûera o marane'yma rerekó mosapyr koîpó oîoirundyk seîxu ybŷá o tym'iré"
"ribanceira da terra","yby-esapykanga"
"Matemos juntos o que diz isso","îaîuká memẽ aîpó 'îara"
"O homem desanima, sem mais, de suas danças também","omanõaibí abá o poraseîtápe bé"
"Fiz oferenda para o pajé","anhetanong paîé resé"
"Elas estão sempre cheias","tynysẽ memẽ"
"vida longa de minha alma","xe 'anga rekó-puku"
"Confesso-me a ti, senhor padre, por causa do meu pecar muitas vezes","anhemombe'u ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé"
"Com um neto ou uma neta, com algum descendente não pode ninguém se casar","o emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá"
"Pelei-lhe a testa","asobabo'o"
"Eis que aqui estou para te procurar","kó xe rekóû nde reká"
"Neste vale, lugar de choro","ikó ybytygûaîa îasegûaba pupé"
"Acende o fogo","emoendy tatá"
"Fez-te subir por te honrar","nde rupiri nde moetesápe"
"Viemos muitos","oroîurusu"
"Para o padre contá-lo-á para que o anuncie na igreja","abaré supé i mombe'uû tupãokype seronhe'engaûama rine"
"Violentaste uma solteira antes de lhe fazer mal?","ereîukaípe mendare'yma i momoxy îanondé?"
"Eu tenho inhaca","xe raby'ak"
"Que não esteja pelas casas para afrouxar nossas almas","t'oîkó umẽ oka rupi oré 'anga monguébo"
"Vesti a roupa nele","aîaó-mondeb"
"Vem para destruir o maldito","eîori, muru mombapa"
"Desperdiçaste as coisas de alguém?","ereîmombukápe abá mba'e?"
"Fui ao encontro do meio das águas","y pytera asopenhan"
"E a aproximação do parto de uma grávida não é também motivo de se ter medo?","- a'epe muru'apora membyrasy kakara na nheangûaba bé ruã?"
"Renderam-se os oponentes","i aûîé mu'amarûera"
"Porventura fazes isso à toa?","aîpó nhẽ-pipó ereîkó?"
"Porventura tinha o maldito sua cintura rompida?","i ku'a-sorok serã moxy?"
"Agora mesmo suas almas quero matar","ko'yr é i 'anga aîuká-potá"
"homem maduro na idade e no juízo","apŷabusu"
"o que foi pão","miapepûera"
"dia muito quente","arakubeté"
"Coisa muito boa é a confissão, como modo de impedir, também, tua ida para o inferno","mba'e-eté anhẽ nhemombe'u anhanga ratápe nde sorambûera morambûesabamono"
"Sua mãe nem sequer sangrou","i xy na sugûyî tiruã"
"São Sebastião também, o que cuidava das guerras, destruiu os tamoios, os valentes","são sebastião abé, marana rerekoarûera, tamũîa, kyre'ymbagûera, omombab erimba'e"
"Acusando uma mulher para seu marido","kunhã kuaûká i mena supé"
"Santa Maria é o seu nome","""santa maria"" sera"
"Abrimos caminho","oroîepeká"
"Tendo dor de suas queimaduras","o kaîa moasŷabo"
"Faz água","o'ẽ"
"Chorai continuamente, pranteando vossos pecados","pe resangá, pe angaîpaba rapirõmo"
"Pintaste-te a boca, sorrindo para os homens?","ereîeîuru-mopiningype, abá supé epukamirĩamo?"
"Já todos os tamoios foram","opá umã tamũîa sóû"
"Apressam-me estes meus súditos, tendo saudades de mim hoje","xe moanhẽ kó xe boîá, îeí xe repîaka'upa"
"Preferiam outrora as pessoas que as matassem?","oîpotarĩ-p'amẽ abá erimba'e o îuká?"
"Eis que sou eu mesmo, já vos disse isso","ixé aé ã, a'é umã n'akó peẽmo"
"no fim do mundo","ara papápe"
"Ao lado de sua própria mãe a criança está deitada","o sy posé pitanga ruî"
"Antecipei sua fala","aînhe'engenondear"
"Estando a destilar coisa muito amarga","mba'e-rob-eté tuku-tuku okûapa"
"Fazendo-me mudar de direção por aí","kûeîbo nhẽ xe rerobaka"
"Afasta o jurupari deste mundo","eîpe'a îurupari kó 'ara suí"
"O cão é ávido","i mba'e-potar îagûara"
"Foram terríveis contra os malditos as flechas de São Sebastião","i abaeté muru supé são sebastião ru'uba"
"minha herança","xe potaba"
"Fiquei-o apodando","aseró-serok"
"quarto traseiro que se parte de um animal ou de uma pessoa","ugûera"
"Estou bem Aûîé aîkó - Estou bem","aûîé aîub"
"Assim procede para disfarçar a existência de seus filhotes","o a'yra kuakupa emonã sekóû"
"Por acaso não chegava seu segundo braço ao lugar de irem os pregos?","ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?"
"Ela está crua","i pyr"
"Por acaso ele tinha o sangue escorrido pelo rosto e pelas costas?","sugûy-syryk serã sobá rupi i atukupé rupi bé?"
"eixo da roda de madeira que gira","ybyrá-pararanga agûeá"
"Dificultando a primeira menstruação","nhemondîara mo'ybatatãmo"
"Toma um só trago","e'u oîepé îuru nhote"
"Minha família te ama","xe anama nde raûsu"
"Queres teu batismo?","ereîpotápe nde nhemoîasuka?"
"Faço-me matar","aîeîuká-ukar"
"mãos entorpecidas","pó-e'õ"
"abraçando a cintura de teu companheiro, estimulando teu desejo sensual","nde rapixara ku'a îubana, nde poropotá-pokyramamo"
